cbs_buurtcode,buurtnaam
BU05990110,Stadsdriehoek
BU05990111,Oude Westen
BU05990112,Cool
BU05990113,C.S. kwartier
BU05990118,Nieuwe Werk
BU05990119,Dijkzigt
BU05990320,Delfshaven
BU05990321,Bospolder
BU05990322,Tussendijken
BU05990323,Spangen
BU05990324,Nieuwe Westen
BU05990325,Middelland
BU05990327,Oud-Mathenesse
BU05990328,Witte Dorp
BU05990329,Schiemond
BU05990451,Kleinpolder
BU05990452,Noord-Kethel
BU05990454,Schieveen
BU05990455,Zestienhoven
BU05990456,Overschie
BU05990457,Landzicht
BU05990515,Agniesebuurt
BU05990516,Provenierswijk
BU05990117,Kop van Zuid
BU05990531,Bergpolder
BU05990532,Blijdorp
BU05990534,Liskwartier
BU05990535,Oude Noorden
BU05990558,Blijdorpse polder
BU05990660,Schiebroek
BU05990661,Hillegersberg-Zuid
BU05990662,Hillegersberg-Noord
BU05990664,Terbregge
BU05990665,Molenlaankwartier
BU05990814,Rubroek
BU05990836,Nieuw-Crooswijk
BU05990837,Oud-Crooswijk
BU05990841,Kralingen-West
BU05990842,Kralingen-Oost
BU05990843,Kralingse Bos
BU05990845,De Esch
BU05990847,Struisenburg
BU05991079,Kop van Zuid-Entrepot
BU05991080,Vreewijk
BU05991081,Bloemhof
BU05991082,Hillesluis
BU05991085,Katendrecht
BU05991086,Afrikaanderwijk
BU05991087,Feijenoord
BU05991088,Noordereiland
BU05991283,Oud-IJsselmonde
BU05991284,Lombardijen
BU05991289,Groot-IJsselmonde
BU05991290,Beverwaard
BU05991391,Pernis
BU05991444,'s-Gravenland
BU05991446,Kralingse Veer
BU05991448,Prinsenland
BU05991449,Het Lage Land
BU05991463,Ommoord
BU05991466,Zevenkamp
BU05991467,Oosterflank
BU05991468,Nesselande
BU05991571,Tarwewijk
BU05991572,Carnisse
BU05991573,Zuidwijk
BU05991574,Oud-Charlois
BU05991575,Wielewaal
BU05991576,Zuidplein
BU05991577,Pendrecht
BU05991578,Zuiderpark
BU05991593,Heijplaat
BU05991692,Hoogvliet-Noord
BU05991699,Hoogvliet-Zuid
BU05991701,Strand en Duin
BU05991702,Dorp
BU05991703,Rijnpoort
BU05991853,Spaanse Polder
BU05991926,Nieuw-Mathenesse
BU05992194,Waalhaven
BU05992196,Eemhaven
BU05992198,Waalhaven-Zuid
BU05992295,Vondelingenplaat
BU05992306,Botlek
BU05992307,Europoort
BU05992308,Maasvlakte
BU05992459,Bedrijventerrein Rotterdam Noord-West
BU05992540,Rivium
BU05992650,Bedrijventerrein Schieveen
BU05992704,Rozenburg