"wijknaam","wijknummer","buurtnaam","lon","lat"
"Charlois",71,"Tarwewijk",4.4848488,51.8952188
"Charlois",72,"Carnisse",4.479409,51.8879921
"Charlois",73,"Zuidwijk",4.4870929,51.8734985
"Charlois",74,"Oud-Charlois",4.4646561,51.8906894
"Charlois",75,"Wielewaal",4.4623611,51.879212
"Charlois",76,"Zuidplein",4.4900217,51.8870767
"Charlois",77,"Pendrecht",4.4694566,51.8745485
"Charlois",78,"Zuiderpark",4.4808997,51.8808041
"Charlois",93,"Heijplaat",4.4205348,51.8926461
"Charlois",4009,"Charlois",4.4646561,51.8906894
"Delfshaven",20,"Delfshaven",4.4510731,51.9070949
"Delfshaven",21,"Bospolder",4.442312,51.9080879
"Delfshaven",22,"Tussendijken",4.4422433,51.9127262
"Delfshaven",23,"Spangen",4.4397365,51.9162991
"Delfshaven",24,"Nieuwe Westen",4.4482055,51.9137693
"Delfshaven",25,"Middelland",4.4586661,51.9146884
"Delfshaven",29,"Schiemond",4.4534528,51.9017074
"Delfshaven",3004,"OudMathenesse/Witte Dorp",4.424137,51.913539
"Delfshaven",4001,"Delfshaven",4.4510731,51.9070949
"Feijenoord",17,"Kop van Zuid",4.4865501,51.9057487
"Feijenoord",79,"Kop van Zuid-Entrepot",4.5031091,51.9077656
"Feijenoord",80,"Vreewijk",4.51419,51.8854962
"Feijenoord",81,"Bloemhof",4.5017656,51.8931335
"Feijenoord",82,"Hillesluis",4.5138783,51.8941095
"Feijenoord",85,"Katendrecht",4.4797897,51.9000849
"Feijenoord",86,"Afrikaanderwijk",4.5018283,51.899868
"Feijenoord",87,"Feijenoord",4.5099912,51.9101513
"Feijenoord",88,"Noordereiland",4.4961069,51.9132973
"Feijenoord",4007,"Feijenoord",4.5099912,51.9101513
"Hillegersberg-Schiebroek",60,"Schiebroek",4.4705335,51.9592486
"Hillegersberg-Schiebroek",61,"Hillegersberg-zuid",4.473134,51.9433534
"Hillegersberg-Schiebroek",62,"Hillegersberg-noord",4.4928165,51.9545319
"Hillegersberg-Schiebroek",64,"Terbregge",4.5198605,51.9567643
"Hillegersberg-Schiebroek",65,"Molenlaankwartier",4.5065996,51.9593073
"Hillegersberg-Schiebroek",4004,"Hillegersberg-Schiebroek",4.4705335,51.9592486
"Hoek van Holland",1,"Strand en duin",4.1185129,51.9867646
"Hoek van Holland",3001,"Dorp/Rijnpoort",4.1668152,51.9638604
"Hoek van Holland",4012,"Hoek van Holland",5.9161596,51.269843
"Hoogvliet",92,"Hoogvliet-noord",4.3725491,51.8716399
"Hoogvliet",99,"Hoogvliet-zuid",4.3664359,51.8533384
"Hoogvliet",4011,"Hoogvliet",4.3546673,51.860247
"IJsselmonde",83,"Oud IJsselmonde",4.5514371,51.8993759
"IJsselmonde",84,"Lombardijen",4.5242375,51.8735975
"IJsselmonde",90,"Beverwaard",4.5668304,51.894262
"IJsselmonde",1009,"Groot IJsselmonde-Noord",4.5425145,51.8862876
"IJsselmonde",1010,"Groot IJsselmonde-Zuid",4.5417258,51.8953522
"IJsselmonde",4008,"IJsselmonde",4.543457,51.8863509
"Kralingen-Crooswijk",14,"Rubroek",4.4899558,51.9268133
"Kralingen-Crooswijk",36,"Nieuw Crooswijk",4.4920865,51.9399819
"Kralingen-Crooswijk",37,"Oud Crooswijk",4.494037,51.9319573
"Kralingen-Crooswijk",41,"Kralingen-west",4.5061,51.9261967
"Kralingen-Crooswijk",45,"De Esch",4.53033,51.905397
"Kralingen-Crooswijk",47,"Struisenburg",4.5112747,51.9180499
"Kralingen-Crooswijk",3005,"Kralingen Oost/Kralingse Bos",4.5153789,51.9289131
"Kralingen-Crooswijk",4005,"Kralingen-Crooswijk",4.5227902,51.918933
"Noord",15,"Agniesebuurt",4.4765548,51.9293107
"Noord",16,"Provenierswijk",4.4696749,51.9269222
"Noord",31,"Bergpolder",4.465404,51.9356962
"Noord",34,"Liskwartier",4.472285,51.9380852
"Noord",35,"Oude Noorden",4.481676,51.9344152
"Noord",3011,"Blijdorp/Blijdorpsepolder",4.442929,51.9281911
"Noord",4003,"Noord",35.8308233,34.4380625
"Overschie",51,"Kleinpolder",4.4312656,51.9341211
"Overschie",56,"Overschie",4.4314183,51.9383261
"Overschie",3006,"NoordKethel",4.3951036,51.9529163
"Overschie",4002,"Overschie",4.4314183,51.9383261
"Pernis",91,"Pernis",4.3820097,51.8848075
"Pernis",4010,"Pernis",4.3820097,51.8848075
"Prins Alexander",44,"s-Gravenland",4.5426007,51.9605758
"Prins Alexander",46,"Kralingseveer",4.550995,51.9106446
"Prins Alexander",48,"Prinsenland",4.5544081,51.9350909
"Prins Alexander",49,"Het Lage Land",4.5403573,51.9422263
"Prins Alexander",63,"Ommoord",4.5399818,51.9582773
"Prins Alexander",66,"Zevenkamp",4.5626382,51.9620427
"Prins Alexander",67,"Oosterflank",4.5590144,51.9431592
"Prins Alexander",68,"Nesselande",4.5821069,51.9829108
"Prins Alexander",4006,"Prins Alexander",4.5540276,51.9457031
"Rotterdam Centrum",10,"Stadsdriehoek",4.4868516,51.9176582
"Rotterdam Centrum",11,"Oude Westen",4.4674905,51.9183942
"Rotterdam Centrum",12,"Cool",4.4757692,51.9194046
"Rotterdam Centrum",13,"CS-kwartier",4.4676374,51.9243499
"Rotterdam Centrum",3003,"Nieuwe Werk/Dijkzigt",4.4736472,51.9062395
"Rotterdam Centrum",4000,"Rotterdam Centrum",4.4739436,51.9181493
"Rozenburg",4,"Rozenburg",4.2471328,51.904422
"Rozenburg",4013,"Rozenburg",4.2471328,51.904422
"Rotterdam",5000,"Rotterdam",4.4777325,51.9244201
