tijdstip;locatie;component;waarde;LKI
2015-08-01 02:00:00+02:00;Rotterdam-Bentinckplein;PM25;3,44231;1
2015-08-01 03:00:00+02:00;Rotterdam-Bentinckplein;PM25;3,18933;1
2015-08-01 04:00:00+02:00;Rotterdam-Bentinckplein;PM25;3,00642;1
2015-08-01 05:00:00+02:00;Rotterdam-Bentinckplein;PM25;4,53522;1
2015-08-01 06:00:00+02:00;Rotterdam-Bentinckplein;PM25;5,82014;1
2015-08-01 07:00:00+02:00;Rotterdam-Bentinckplein;PM25;8,3827;1
2015-08-01 08:00:00+02:00;Rotterdam-Bentinckplein;PM25;8,5829;1
2015-08-01 09:00:00+02:00;Rotterdam-Bentinckplein;PM25;7,36987;1
2015-08-01 10:00:00+02:00;Rotterdam-Bentinckplein;PM25;14,3341;2
2015-08-01 11:00:00+02:00;Rotterdam-Bentinckplein;PM25;10,8124;2
2015-08-01 12:00:00+02:00;Rotterdam-Bentinckplein;PM25;8,3827;1
2015-08-01 13:00:00+02:00;Rotterdam-Bentinckplein;PM25;6,77018;1
2015-08-01 14:00:00+02:00;Rotterdam-Bentinckplein;PM25;11,2128;2
2015-08-01 15:00:00+02:00;Rotterdam-Bentinckplein;PM25;10,1208;2
2015-08-01 16:00:00+02:00;Rotterdam-Bentinckplein;PM25;7,40991;1
2015-08-01 17:00:00+02:00;Rotterdam-Bentinckplein;PM25;4,94381;1
2015-08-01 18:00:00+02:00;Rotterdam-Bentinckplein;PM25;9,7295;1
2015-08-01 19:00:00+02:00;Rotterdam-Bentinckplein;PM25;7,9004;1
2015-08-01 20:00:00+02:00;Rotterdam-Bentinckplein;PM25;10,3574;2
2015-08-01 21:00:00+02:00;Rotterdam-Bentinckplein;PM25;10,4848;2
2015-08-01 22:00:00+02:00;Rotterdam-Bentinckplein;PM25;7,8458;1
2015-08-01 23:00:00+02:00;Rotterdam-Bentinckplein;PM25;13,6061;2
2015-08-02 00:00:00+02:00;Rotterdam-Bentinckplein;PM25;19,0661;3
2015-08-02 01:00:00+02:00;Rotterdam-Bentinckplein;PM25;16,7456;3
2015-08-02 02:00:00+02:00;Rotterdam-Bentinckplein;PM25;15,963;3
2015-08-02 03:00:00+02:00;Rotterdam-Bentinckplein;PM25;14,0884;2
2015-08-02 04:00:00+02:00;Rotterdam-Bentinckplein;PM25;11,0308;2
2015-08-02 05:00:00+02:00;Rotterdam-Bentinckplein;PM25;12,4686;2
2015-08-02 06:00:00+02:00;Rotterdam-Bentinckplein;PM25;15,9357;3
2015-08-02 07:00:00+02:00;Rotterdam-Bentinckplein;PM25;21,6869;4
2015-08-02 08:00:00+02:00;Rotterdam-Bentinckplein;PM25;18,9296;3
2015-08-02 09:00:00+02:00;Rotterdam-Bentinckplein;PM25;16,509;3
2015-08-02 10:00:00+02:00;Rotterdam-Bentinckplein;PM25;12,2866;2
2015-08-02 11:00:00+02:00;Rotterdam-Bentinckplein;PM25;13,7335;2
2015-08-02 12:00:00+02:00;Rotterdam-Bentinckplein;PM25;15,5717;3
2015-08-02 13:00:00+02:00;Rotterdam-Bentinckplein;PM25;16,2269;3
2015-08-02 14:00:00+02:00;Rotterdam-Bentinckplein;PM25;14,325;2
2015-08-02 15:00:00+02:00;Rotterdam-Bentinckplein;PM25;13,8245;2
2015-08-02 16:00:00+02:00;Rotterdam-Bentinckplein;PM25;16,2997;3
2015-08-02 17:00:00+02:00;Rotterdam-Bentinckplein;PM25;14,6981;2
2015-08-02 18:00:00+02:00;Rotterdam-Bentinckplein;PM25;11,231;2
2015-08-02 19:00:00+02:00;Rotterdam-Bentinckplein;PM25;13,3968;2
2015-08-02 20:00:00+02:00;Rotterdam-Bentinckplein;PM25;11,0945;2
2015-08-02 21:00:00+02:00;Rotterdam-Bentinckplein;PM25;15,0257;3
2015-08-02 22:00:00+02:00;Rotterdam-Bentinckplein;PM25;16,0085;3
2015-08-02 23:00:00+02:00;Rotterdam-Bentinckplein;PM25;10,9853;2
2015-08-03 00:00:00+02:00;Rotterdam-Bentinckplein;PM25;14,0793;2
2015-08-03 01:00:00+02:00;Rotterdam-Bentinckplein;PM25;11,4221;2
2015-08-03 02:00:00+02:00;Rotterdam-Bentinckplein;PM25;9,3109;1
2015-08-03 03:00:00+02:00;Rotterdam-Bentinckplein;PM25;14,0247;2
2015-08-03 04:00:00+02:00;Rotterdam-Bentinckplein;PM25;10,7487;2
2015-08-03 05:00:00+02:00;Rotterdam-Bentinckplein;PM25;7,35076;1
2015-08-03 06:00:00+02:00;Rotterdam-Bentinckplein;PM25;11,7224;2
2015-08-03 07:00:00+02:00;Rotterdam-Bentinckplein;PM25;19,6576;3
2015-08-03 08:00:00+02:00;Rotterdam-Bentinckplein;PM25;17,5009;3
2015-08-03 09:00:00+02:00;Rotterdam-Bentinckplein;PM25;14,7254;2
2015-08-03 10:00:00+02:00;Rotterdam-Bentinckplein;PM25;18,0469;3
2015-08-03 11:00:00+02:00;Rotterdam-Bentinckplein;PM25;10,5576;2
2015-08-03 12:00:00+02:00;Rotterdam-Bentinckplein;PM25;9,2654;1
2015-08-03 13:00:00+02:00;Rotterdam-Bentinckplein;PM25;8,4646;1
2015-08-03 14:00:00+02:00;Rotterdam-Bentinckplein;PM25;9,6476;1
2015-08-03 15:00:00+02:00;Rotterdam-Bentinckplein;PM25;11,3402;2
2015-08-03 16:00:00+02:00;Rotterdam-Bentinckplein;PM25;6,02489;1
2015-08-03 17:00:00+02:00;Rotterdam-Bentinckplein;PM25;2,30117;1
2015-08-03 18:00:00+02:00;Rotterdam-Bentinckplein;PM25;2,47862;1
2015-08-03 19:00:00+02:00;Rotterdam-Bentinckplein;PM25;1,65052;1
2015-08-03 20:00:00+02:00;Rotterdam-Bentinckplein;PM25;3,31582;1
2015-08-03 21:00:00+02:00;Rotterdam-Bentinckplein;PM25;2,21472;1
2015-08-03 22:00:00+02:00;Rotterdam-Bentinckplein;PM25;2,86082;1
2015-08-03 23:00:00+02:00;Rotterdam-Bentinckplein;PM25;0,61676;1
2015-08-04 00:00:00+02:00;Rotterdam-Bentinckplein;PM25;0,84244;1
2015-08-04 01:00:00+02:00;Rotterdam-Bentinckplein;PM25;3,27396;1
2015-08-04 02:00:00+02:00;Rotterdam-Bentinckplein;PM25;2,77528;1
2015-08-04 03:00:00+02:00;Rotterdam-Bentinckplein;PM25;0,90341;1
2015-08-04 04:00:00+02:00;Rotterdam-Bentinckplein;PM25;1,24011;1
2015-08-04 05:00:00+02:00;Rotterdam-Bentinckplein;PM25;2,21472;1
2015-08-04 06:00:00+02:00;Rotterdam-Bentinckplein;PM25;1,10452;1
2015-08-04 09:00:00+02:00;Rotterdam-Bentinckplein;PM25;1,18096;1
2015-08-04 10:00:00+02:00;Rotterdam-Bentinckplein;PM25;0,58764;1
2015-08-04 11:00:00+02:00;Rotterdam-Bentinckplein;PM25;0,91979;1
2015-08-04 12:00:00+02:00;Rotterdam-Bentinckplein;PM25;3,31036;1
2015-08-04 13:00:00+02:00;Rotterdam-Bentinckplein;PM25;5,31782;1
2015-08-04 14:00:00+02:00;Rotterdam-Bentinckplein;PM25;4,17122;1
2015-08-04 15:00:00+02:00;Rotterdam-Bentinckplein;PM25;2,49136;1
2015-08-04 16:00:00+02:00;Rotterdam-Bentinckplein;PM25;1,81159;1
2015-08-04 17:00:00+02:00;Rotterdam-Bentinckplein;PM25;5,13582;1
2015-08-04 18:00:00+02:00;Rotterdam-Bentinckplein;PM25;7,48362;1
2015-08-04 19:00:00+02:00;Rotterdam-Bentinckplein;PM25;5,05301;1
2015-08-04 20:00:00+02:00;Rotterdam-Bentinckplein;PM25;6,13045;1
2015-08-04 21:00:00+02:00;Rotterdam-Bentinckplein;PM25;8,6284;1
2015-08-04 22:00:00+02:00;Rotterdam-Bentinckplein;PM25;6,89303;1
2015-08-04 23:00:00+02:00;Rotterdam-Bentinckplein;PM25;8,9014;1
2015-08-05 00:00:00+02:00;Rotterdam-Bentinckplein;PM25;9,2472;1
2015-08-05 01:00:00+02:00;Rotterdam-Bentinckplein;PM25;6,59;1
2015-08-05 02:00:00+02:00;Rotterdam-Bentinckplein;PM25;6,43894;1
2015-08-05 03:00:00+02:00;Rotterdam-Bentinckplein;PM25;4,25039;1
2015-08-05 04:00:00+02:00;Rotterdam-Bentinckplein;PM25;4,29225;1
2015-08-05 05:00:00+02:00;Rotterdam-Bentinckplein;PM25;3,89276;1
2015-08-05 06:00:00+02:00;Rotterdam-Bentinckplein;PM25;3,40227;1
2015-08-05 07:00:00+02:00;Rotterdam-Bentinckplein;PM25;3,86819;1
2015-08-05 08:00:00+02:00;Rotterdam-Bentinckplein;PM25;7,6001;1
2015-08-05 09:00:00+02:00;Rotterdam-Bentinckplein;PM25;9,3928;1
2015-08-05 10:00:00+02:00;Rotterdam-Bentinckplein;PM25;10,3665;2
2015-08-05 11:00:00+02:00;Rotterdam-Bentinckplein;PM25;8,5738;1
2015-08-05 12:00:00+02:00;Rotterdam-Bentinckplein;PM25;4,44604;1
2015-08-05 13:00:00+02:00;Rotterdam-Bentinckplein;PM25;7,17149;1
2015-08-05 14:00:00+02:00;Rotterdam-Bentinckplein;PM25;6,32519;1
2015-08-05 15:00:00+02:00;Rotterdam-Bentinckplein;PM25;6,83752;1
2015-08-05 16:00:00+02:00;Rotterdam-Bentinckplein;PM25;4,26859;1
2015-08-05 17:00:00+02:00;Rotterdam-Bentinckplein;PM25;2,52412;1
2015-08-05 18:00:00+02:00;Rotterdam-Bentinckplein;PM25;2,84444;1
2015-08-05 19:00:00+02:00;Rotterdam-Bentinckplein;PM25;1,10543;1
2015-08-05 20:00:00+02:00;Rotterdam-Bentinckplein;PM25;2,04728;1
2015-08-05 21:00:00+02:00;Rotterdam-Bentinckplein;PM25;5,14128;1
2015-08-05 22:00:00+02:00;Rotterdam-Bentinckplein;PM25;7,32164;1
2015-08-05 23:00:00+02:00;Rotterdam-Bentinckplein;PM25;8,4009;1
2015-08-06 00:00:00+02:00;Rotterdam-Bentinckplein;PM25;6,30153;1
2015-08-06 01:00:00+02:00;Rotterdam-Bentinckplein;PM25;10,7032;2
2015-08-06 02:00:00+02:00;Rotterdam-Bentinckplein;PM25;8,7194;1
2015-08-06 03:00:00+02:00;Rotterdam-Bentinckplein;PM25;8,9833;1
2015-08-06 04:00:00+02:00;Rotterdam-Bentinckplein;PM25;9,047;1
2015-08-06 05:00:00+02:00;Rotterdam-Bentinckplein;PM25;12,9327;2
2015-08-06 06:00:00+02:00;Rotterdam-Bentinckplein;PM25;14,871;2
2015-08-06 07:00:00+02:00;Rotterdam-Bentinckplein;PM25;23,8163;4
2015-08-06 08:00:00+02:00;Rotterdam-Bentinckplein;PM25;18,8022;3
2015-08-06 09:00:00+02:00;Rotterdam-Bentinckplein;PM25;23,8982;4
2015-08-06 10:00:00+02:00;Rotterdam-Bentinckplein;PM25;13,7881;2
2015-08-06 11:00:00+02:00;Rotterdam-Bentinckplein;PM25;16,7547;3
2015-08-06 12:00:00+02:00;Rotterdam-Bentinckplein;PM25;8,7103;1
2015-08-06 13:00:00+02:00;Rotterdam-Bentinckplein;PM25;6,46078;1
2015-08-06 14:00:00+02:00;Rotterdam-Bentinckplein;PM25;8,228;1
2015-08-06 15:00:00+02:00;Rotterdam-Bentinckplein;PM25;4,62895;1
2015-08-06 16:00:00+02:00;Rotterdam-Bentinckplein;PM25;0,77783;1
2015-08-06 17:00:00+02:00;Rotterdam-Bentinckplein;PM25;2,71158;1
2015-08-06 18:00:00+02:00;Rotterdam-Bentinckplein;PM25;3,69529;1
2015-08-06 19:00:00+02:00;Rotterdam-Bentinckplein;PM25;4,28315;1
2015-08-06 20:00:00+02:00;Rotterdam-Bentinckplein;PM25;1,00715;1
2015-08-06 21:00:00+02:00;Rotterdam-Bentinckplein;PM25;2,9136;1
2015-08-06 22:00:00+02:00;Rotterdam-Bentinckplein;PM25;2,01543;1
2015-08-06 23:00:00+02:00;Rotterdam-Bentinckplein;PM25;3,95555;1
2015-08-07 00:00:00+02:00;Rotterdam-Bentinckplein;PM25;4,44513;1
2015-08-07 01:00:00+02:00;Rotterdam-Bentinckplein;PM25;4,43876;1
2015-08-07 02:00:00+02:00;Rotterdam-Bentinckplein;PM25;7,5546;1
2015-08-07 03:00:00+02:00;Rotterdam-Bentinckplein;PM25;6,13591;1
2015-08-07 04:00:00+02:00;Rotterdam-Bentinckplein;PM25;4,16303;1
2015-08-07 05:00:00+02:00;Rotterdam-Bentinckplein;PM25;2,15284;1
2015-08-07 06:00:00+02:00;Rotterdam-Bentinckplein;PM25;1,41483;1
2015-08-07 07:00:00+02:00;Rotterdam-Bentinckplein;PM25;2,41492;1
2015-08-07 08:00:00+02:00;Rotterdam-Bentinckplein;PM25;8,2553;1
2015-08-07 09:00:00+02:00;Rotterdam-Bentinckplein;PM25;8,4919;1
2015-08-07 10:00:00+02:00;Rotterdam-Bentinckplein;PM25;10,0389;2
2015-08-07 11:00:00+02:00;Rotterdam-Bentinckplein;PM25;7,5728;1
2015-08-07 12:00:00+02:00;Rotterdam-Bentinckplein;PM25;8,7831;1
2015-08-07 13:00:00+02:00;Rotterdam-Bentinckplein;PM25;5,9075;1
2015-08-07 14:00:00+02:00;Rotterdam-Bentinckplein;PM25;5,88111;1
2015-08-07 15:00:00+02:00;Rotterdam-Bentinckplein;PM25;6,58909;1
2015-08-07 16:00:00+02:00;Rotterdam-Bentinckplein;PM25;3,08286;1
2015-08-07 17:00:00+02:00;Rotterdam-Bentinckplein;PM25;1,07904;1
2015-08-07 18:00:00+02:00;Rotterdam-Bentinckplein;PM25;1,58773;1
2015-08-07 19:00:00+02:00;Rotterdam-Bentinckplein;PM25;1,78793;1
2015-08-07 20:00:00+02:00;Rotterdam-Bentinckplein;PM25;2,41947;1
2015-08-07 21:00:00+02:00;Rotterdam-Bentinckplein;PM25;4,08113;1
2015-08-07 22:00:00+02:00;Rotterdam-Bentinckplein;PM25;2,78529;1
2015-08-07 23:00:00+02:00;Rotterdam-Bentinckplein;PM25;3,10197;1
2015-08-08 00:00:00+02:00;Rotterdam-Bentinckplein;PM25;4,77819;1
2015-08-08 01:00:00+02:00;Rotterdam-Bentinckplein;PM25;9,3291;1
2015-08-08 02:00:00+02:00;Rotterdam-Bentinckplein;PM25;13,8518;2
2015-08-08 03:00:00+02:00;Rotterdam-Bentinckplein;PM25;10,9489;2
2015-08-08 04:00:00+02:00;Rotterdam-Bentinckplein;PM25;7,9186;1
2015-08-08 05:00:00+02:00;Rotterdam-Bentinckplein;PM25;7,8003;1
2015-08-08 06:00:00+02:00;Rotterdam-Bentinckplein;PM25;5,91478;1
2015-08-08 07:00:00+02:00;Rotterdam-Bentinckplein;PM25;9,2927;1
2015-08-08 08:00:00+02:00;Rotterdam-Bentinckplein;PM25;5,65088;1
2015-08-08 09:00:00+02:00;Rotterdam-Bentinckplein;PM25;4,56434;1
2015-08-08 10:00:00+02:00;Rotterdam-Bentinckplein;PM25;2,70066;1
2015-08-08 11:00:00+02:00;Rotterdam-Bentinckplein;PM25;3,97648;1
2015-08-08 12:00:00+02:00;Rotterdam-Bentinckplein;PM25;4,31682;1
2015-08-08 13:00:00+02:00;Rotterdam-Bentinckplein;PM25;6,2533;1
2015-08-08 14:00:00+02:00;Rotterdam-Bentinckplein;PM25;9,7113;1
2015-08-08 15:00:00+02:00;Rotterdam-Bentinckplein;PM25;4,93198;1
2015-08-08 16:00:00+02:00;Rotterdam-Bentinckplein;PM25;3,82815;1
2015-08-08 17:00:00+02:00;Rotterdam-Bentinckplein;PM25;1,87711;1
2015-08-08 18:00:00+02:00;Rotterdam-Bentinckplein;PM25;0,49209;1
2015-08-08 21:00:00+02:00;Rotterdam-Bentinckplein;PM25;1,69784;1
2015-08-08 22:00:00+02:00;Rotterdam-Bentinckplein;PM25;1,95901;1
2015-08-08 23:00:00+02:00;Rotterdam-Bentinckplein;PM25;0,31828;1
2015-08-09 00:00:00+02:00;Rotterdam-Bentinckplein;PM25;0,95437;1
2015-08-09 01:00:00+02:00;Rotterdam-Bentinckplein;PM25;3,11562;1
2015-08-09 02:00:00+02:00;Rotterdam-Bentinckplein;PM25;4,54341;1
2015-08-09 03:00:00+02:00;Rotterdam-Bentinckplein;PM25;7,19242;1
2015-08-09 04:00:00+02:00;Rotterdam-Bentinckplein;PM25;6,36341;1
2015-08-09 05:00:00+02:00;Rotterdam-Bentinckplein;PM25;6,92488;1
2015-08-09 06:00:00+02:00;Rotterdam-Bentinckplein;PM25;6,23783;1
2015-08-09 07:00:00+02:00;Rotterdam-Bentinckplein;PM25;6,66735;1
2015-08-09 08:00:00+02:00;Rotterdam-Bentinckplein;PM25;4,53886;1
2015-08-09 09:00:00+02:00;Rotterdam-Bentinckplein;PM25;6,34976;1
2015-08-09 10:00:00+02:00;Rotterdam-Bentinckplein;PM25;8,7467;1
2015-08-09 11:00:00+02:00;Rotterdam-Bentinckplein;PM25;13,8973;2
2015-08-09 12:00:00+02:00;Rotterdam-Bentinckplein;PM25;11,4039;2
2015-08-09 13:00:00+02:00;Rotterdam-Bentinckplein;PM25;11,8953;2
2015-08-09 14:00:00+02:00;Rotterdam-Bentinckplein;PM25;8,2826;1
2015-08-09 15:00:00+02:00;Rotterdam-Bentinckplein;PM25;6,66462;1
2015-08-09 16:00:00+02:00;Rotterdam-Bentinckplein;PM25;6,50992;1
2015-08-09 17:00:00+02:00;Rotterdam-Bentinckplein;PM25;7,682;1
2015-08-09 18:00:00+02:00;Rotterdam-Bentinckplein;PM25;16,2997;3
2015-08-09 19:00:00+02:00;Rotterdam-Bentinckplein;PM25;16,054;3
2015-08-09 20:00:00+02:00;Rotterdam-Bentinckplein;PM25;15,8447;3
2015-08-09 21:00:00+02:00;Rotterdam-Bentinckplein;PM25;13,2421;2
2015-08-09 22:00:00+02:00;Rotterdam-Bentinckplein;PM25;6,51174;1
2015-08-09 23:00:00+02:00;Rotterdam-Bentinckplein;PM25;14,6617;2
2015-08-10 00:00:00+02:00;Rotterdam-Bentinckplein;PM25;14,3614;2
2015-08-10 01:00:00+02:00;Rotterdam-Bentinckplein;PM25;13,0146;2
2015-08-10 02:00:00+02:00;Rotterdam-Bentinckplein;PM25;20,4857;4
2015-08-10 03:00:00+02:00;Rotterdam-Bentinckplein;PM25;18,4109;3
2015-08-10 04:00:00+02:00;Rotterdam-Bentinckplein;PM25;10,867;2
2015-08-10 05:00:00+02:00;Rotterdam-Bentinckplein;PM25;9,7295;1
2015-08-10 06:00:00+02:00;Rotterdam-Bentinckplein;PM25;7,13782;1
2015-08-10 07:00:00+02:00;Rotterdam-Bentinckplein;PM25;5,54532;1
2015-08-10 08:00:00+02:00;Rotterdam-Bentinckplein;PM25;7,10324;1
2015-08-10 09:00:00+02:00;Rotterdam-Bentinckplein;PM25;6,8721;1
2015-08-10 10:00:00+02:00;Rotterdam-Bentinckplein;PM25;6,43348;1
2015-08-10 11:00:00+02:00;Rotterdam-Bentinckplein;PM25;6,36887;1
2015-08-10 12:00:00+02:00;Rotterdam-Bentinckplein;PM25;7,682;1
2015-08-10 13:00:00+02:00;Rotterdam-Bentinckplein;PM25;5,39972;1
2015-08-10 14:00:00+02:00;Rotterdam-Bentinckplein;PM25;4,62895;1
2015-08-10 15:00:00+02:00;Rotterdam-Bentinckplein;PM25;9,0015;1
2015-08-10 16:00:00+02:00;Rotterdam-Bentinckplein;PM25;10,4029;2
